Date, Open, High, Low, Close
02/24/14, 16102.27, 16300.04, 16102.27, 16207.14
02/21/14, 16135.92, 16191.92, 16093.80, 16103.30
02/20/14, 16044.15, 16161.64, 16006.59, 16133.23
02/19/14, 16126.23, 16225.72, 16031.66, 16040.56
02/18/14, 16153.97, 16167.33, 16107.04, 16130.40
02/14/14, 16018.08, 16175.55, 15985.39, 16154.39
02/13/14, 15946.99, 16039.37, 15863.25, 16027.59
02/12/14, 15993.04, 16036.56, 15928.75, 15963.94
02/11/14, 15804.17, 16027.19, 15803.40, 15994.77
02/10/14, 15793.63, 15801.79, 15733.69, 15801.79
02/07/14, 15630.64, 15798.51, 15625.53, 15794.08
02/06/14, 15443.83, 15632.09, 15443.00, 15628.53
02/05/14, 15443.00, 15478.21, 15340.69, 15440.23
02/04/14, 15372.93, 15481.85, 15356.62, 15445.24
02/03/14, 15697.69, 15708.54, 15356.17, 15372.80
01/31/14, 15847.19, 15847.19, 15617.55, 15698.85
01/30/14, 15743.03, 15907.53, 15733.27, 15848.61
01/29/14, 15927.08, 15927.08, 15708.98, 15738.79
01/28/14, 15840.84, 15945.89, 15840.84, 15928.56
01/27/14, 15879.05, 15942.77, 15783.55, 15837.88
01/24/14, 16203.29, 16203.29, 15879.11, 15879.11
01/23/14, 16371.99, 16372.96, 16140.58, 16197.35
01/22/14, 16420.48, 16453.49, 16332.98, 16373.34
01/21/14, 16459.27, 16520.60, 16316.25, 16414.44
01/17/14, 16408.02, 16495.26, 16378.80, 16458.56
01/16/14, 16477.70, 16477.70, 16375.56, 16417.01
01/15/14, 16378.03, 16505.28, 16376.78, 16481.94
01/14/14, 16261.99, 16373.92, 16260.83, 16373.86
01/13/14, 16434.03, 16453.13, 16240.60, 16257.94
01/10/14, 16453.62, 16487.65, 16379.02, 16437.05
01/09/14, 16471.41, 16525.35, 16378.61, 16444.76
01/08/14, 16527.66, 16528.88, 16416.69, 16462.74
01/07/14, 16429.02, 16562.32, 16429.02, 16530.94
01/06/14, 16474.04, 16532.99, 16405.52, 16425.10
01/03/14, 16456.89, 16518.74, 16439.30, 16469.99
01/02/14, 16572.17, 16573.07, 16416.49, 16441.35
12/31/13, 16512.38, 16588.25, 16511.48, 16576.66
12/30/13, 16484.51, 16504.35, 16476.87, 16504.29
12/27/13, 16486.37, 16529.01, 16461.23, 16478.41
12/26/13, 16370.97, 16483.00, 16370.97, 16479.88
12/24/13, 16295.70, 16360.60, 16295.70, 16357.55
12/23/13, 16225.25, 16318.11, 16225.25, 16294.61
12/20/13, 16178.57, 16287.84, 16178.57, 16221.14
12/19/13, 16162.51, 16194.72, 16121.54, 16179.08
12/18/13, 15876.57, 16173.04, 15808.92, 16167.97
12/17/13, 15884.06, 15917.96, 15836.45, 15875.26
12/16/13, 15759.60, 15930.31, 15759.60, 15884.57
12/13/13, 15745.66, 15792.80, 15717.92, 15755.36
12/12/13, 15844.82, 15845.11, 15703.79, 15739.43
12/11/13, 15970.75, 15997.22, 15827.70, 15843.53
12/10/13, 16024.12, 16029.06, 15969.53, 15973.13
12/09/13, 16019.49, 16058.40, 16015.29, 16025.53
12/06/13, 15825.55, 16022.35, 15825.55, 16020.20
12/05/13, 15886.50, 15896.19, 15809.37, 15821.51
12/04/13, 15910.51, 15960.36, 15791.29, 15889.77
12/03/13, 16004.72, 16004.72, 15859.68, 15914.62
12/02/13, 16087.12, 16098.00, 15986.23, 16008.77
11/29/13, 16105.16, 16174.51, 16074.14, 16086.41
11/27/13, 16073.37, 16107.99, 16057.34, 16097.33
11/26/13, 16070.93, 16120.25, 16070.93, 16072.80
11/25/13, 16072.09, 16109.63, 16055.46, 16072.54
11/22/13, 16008.71, 16068.78, 15976.27, 16064.77
11/21/13, 15908.07, 16016.04, 15908.07, 16009.99
11/20/13, 15971.20, 16016.85, 15865.37, 15900.82
11/19/13, 15974.06, 16025.85, 15943.78, 15967.03
11/18/13, 15962.72, 16030.28, 15942.17, 15976.02
11/15/13, 15876.16, 15962.98, 15875.90, 15961.70
11/14/13, 15806.22, 15884.99, 15798.74, 15876.22
11/13/13, 15739.50, 15822.98, 15672.00, 15821.63
11/12/13, 15773.15, 15793.38, 15708.29, 15750.67
11/11/13, 15759.28, 15791.45, 15737.22, 15783.10
11/08/13, 15591.54, 15764.29, 15579.35, 15761.78
11/07/13, 15751.31, 15797.68, 15586.33, 15593.98
11/06/13, 15628.72, 15750.29, 15628.72, 15746.88
11/05/13, 15631.22, 15651.89, 15522.18, 15618.22
11/04/13, 15621.20, 15658.90, 15588.48, 15639.12
11/01/13, 15558.01, 15649.40, 15543.25, 15615.55
10/31/13, 15619.92, 15651.86, 15544.69, 15545.75
10/30/13, 15680.74, 15721.00, 15574.52, 15618.76
10/29/13, 15572.21, 15683.08, 15572.21, 15680.35
10/28/13, 15569.19, 15599.09, 15533.48, 15568.93
10/25/13, 15523.72, 15570.60, 15512.96, 15570.28
10/24/13, 15414.87, 15528.63, 15414.13, 15509.21
10/23/13, 15465.34, 15465.66, 15366.19, 15413.33
